  disasm                           seq_num  
bic r1, r0, #3                       2737
ldr r2, [r1] #4                      2738
addi_uop r1, r1, #4                  2739
ands r3, r0, #3                      2740
rsb r0, r3, #0                       2741
beq                                  2742
tsts r2, #255                        2759
tstsne r2, #65280                    2760
tstsne r2, #16711680                 2761
tstsne r2, #4278190080               2762
addne r0, r0, #4                     2763
ldrne r2, [r1] #4                    2764
addi_uopne r1, r1, #4                2765
bne                                  2766
tsts r2, #255                        2770
tstsne r2, #65280                    2771
tstsne r2, #16711680                 2772
tstsne r2, #4278190080               2773
addne r0, r0, #4                     2774
ldrne r2, [r1] #4                    2775
addi_uopne r1, r1, #4                2776
bne                                  2777
tsts r2, #255                        2805
addne r0, r0, #1                     2806
tstsne r2, #65280                    2807
addne r0, r0, #1                     2808
tstsne r2, #16711680                 2809
addne r0, r0, #1                     2810
bx                                   2811
ldr r3, [pc, #256]                   2812
ldr r1, [r3, #0]                     2813
cmps r1, #0                          2814
bne                                  2815
ldrb r12, [r5, #0]                   2895
cmps r12, #0                         2896
beq                                  2897
ldrb r3, [r5, #1]                    2898
cmps r3, #0                          2899
bne                                  2900
ldr r4, [r1, #0]                     2912
orr r3, r12, r3, LSL #8              2913
cmps r4, #0                          2914
sub r7, r0, #2                       2915
add r8, r5, #2                       2916
beq                                  2917
mov r0, #0                           2941
ldr2_uop r4,r5, [sp, #0]             2942
ldr2_uop r6,r7, [sp, #8]             2943
ldr2_uop r8,r36, [sp, #16]           2944
addi_uop sp, sp, #24                 2945
uopReg_uop pc, r36                   2946
ldr r4, [pc, #680]                   2947
cmps r0, #0                          2948
movne r2, r0                         2949
moveq r2, r4                         2950
ldr r0, [pc, #668]                   2951
ldrb r3, [r2, #0]                    2952
ldr r2, [pc, #664]                   2953
subs r3, r3, #0                      2954
movne r3, #1                         2955
str r3, [r2, #0]                     2956
bl                                   2957
str_uop r4, [sp, #24]                2958
str_uop r5, [sp, #20]                2959
str_uop r6, [sp, #16]                2960
str_uop r7, [sp, #12]                2961
str_uop r8, [sp, #8]                 2962
str_uop lr, [sp, #4]                 2963
subi_uop sp, sp, #24                 2964
mov r5, r0                           2965
bl                                   2966
bic r1, r0, #3                       2967
ldr r2, [r1] #4                      2968
addi_uop r1, r1, #4                  2969
ands r3, r0, #3                      2970
rsb r0, r3, #0                       2971
beq                                  2972
tsts r2, #255                        2973
tstsne r2, #65280                    2974
tstsne r2, #16711680                 2975
tstsne r2, #4278190080               2976
addne r0, r0, #4                     2977
ldrne r2, [r1] #4                    2978
addi_uopne r1, r1, #4                2979
bne                                  2980
tsts r2, #255                        3004
tstsne r2, #65280                    3005
tstsne r2, #16711680                 3006
tstsne r2, #4278190080               3007
addne r0, r0, #4                     3008
ldrne r2, [r1] #4                    3009
addi_uopne r1, r1, #4                3010
bne                                  3011
tsts r2, #255                        3034
tstsne r2, #65280                    3035
tstsne r2, #16711680                 3036
tstsne r2, #4278190080               3037
addne r0, r0, #4                     3038
ldrne r2, [r1] #4                    3039
addi_uopne r1, r1, #4                3040
bne                                  3041
tsts r2, #255                        3064
tstsne r2, #65280                    3065
tstsne r2, #16711680                 3066
tstsne r2, #4278190080               3067
addne r0, r0, #4                     3068
ldrne r2, [r1] #4                    3069
addi_uopne r1, r1, #4                3070
bne                                  3071
tsts r2, #255                        3072
addne r0, r0, #1                     3073
tstsne r2, #65280                    3074
addne r0, r0, #1                     3075
tstsne r2, #16711680                 3076
addne r0, r0, #1                     3077
bx                                   3078
ldr r3, [pc, #256]                   3079
ldr r1, [r3, #0]                     3080
cmps r1, #0                          3081
bne                                  3082
ldrb r12, [r5, #0]                   3083
cmps r12, #0                         3084
beq                                  3085
ldrb r3, [r5, #1]                    3086
cmps r3, #0                          3087
bne                                  3088
